"DateTime","OPEN","HIGH","LOW","CLOSE","VOLUME"
2000-01-04,1368.693,1407.518,1361.214,1406.371,903402300
2000-01-05,1407.829,1433.78,1398.323,1409.682,1057998400
2000-01-06,1406.036,1463.955,1400.253,1463.942,1348051500
2000-01-07,1477.154,1522.825,1477.154,1516.604,3451569900
2000-01-10,1531.712,1546.723,1506.404,1545.112,3125353900
2000-01-11,1547.678,1547.708,1468.757,1479.781,2192455400
2000-01-12,1473.761,1489.28,1434.996,1438.02,1522286900
2000-01-13,1437.453,1444.066,1418.814,1424.442,861291200
2000-01-14,1426.224,1433.474,1401.706,1408.848,744701200
2000-01-17,1408.988,1433.383,1402.663,1433.33,764983100
2000-01-18,1436.888,1443.592,1421.642,1426.623,776712800
2000-01-19,1425.874,1443.672,1425.143,1440.724,800659600
2000-01-20,1443.094,1466.901,1443.094,1466.863,1007080200
2000-01-21,1471.905,1476.456,1458.925,1465.085,1505097300
2000-01-24,1465.858,1477.412,1449.472,1477.344,1624151500
2000-01-25,1483.033,1490.464,1467.438,1476.506,1363598700
2000-01-26,1477.295,1482.464,1469.98,1481.117,1038443700
2000-01-27,1490.447,1506.922,1485.234,1506.767,1898178600
2000-01-28,1514.558,1536.346,1510.745,1534.997,2938895600
2000-02-14,1591.445,1674.132,1587.818,1673.943,4358082000
2000-02-15,1709.224,1746.443,1663.005,1670.67,5254347200
2000-02-16,1674.936,1695.881,1649.699,1693.109,3743555000
2000-02-17,1734.268,1770.88,1615.629,1640.649,5143904700
2000-02-18,1623.961,1668.164,1583.582,1668.091,2679965100
2000-02-21,1681.361,1697.01,1652.476,1677.136,3105240800
2000-02-22,1681.299,1687.511,1627.467,1632.294,2425177800
2000-02-23,1618.008,1630.546,1586.634,1594.93,1918606000
2000-02-24,1593.948,1634.323,1593.929,1634.309,1393287800
2000-02-25,1639.919,1650.365,1618.177,1631.576,1705805500
2000-02-28,1639.799,1704.884,1639.696,1704.855,2612794300
2000-02-29,1728.136,1733.141,1678.35,1714.578,2868075700
2000-03-01,1720.597,1721.14,1692.509,1697.744,2248835500
2000-03-02,1697.562,1721.598,1682.535,1713.014,1959349600
2000-03-03,1728.355,1750.645,1721.705,1738.021,2481549000
2000-03-06,1756.313,1762.829,1678.744,1681.085,2650721500
2000-03-07,1661.948,1694.887,1654.444,1694.798,1768561500
2000-03-08,1699.462,1726.043,1690.117,1726.033,1974594100
2000-03-09,1734.767,1741.224,1714.921,1732.346,1787737800
2000-03-10,1731.94,1743.139,1701.793,1705.049,1587236200
2000-03-13,1706.769,1729.007,1706.349,1728.875,1982917200
2000-03-14,1690.653,1700.373,1636.893,1685.347,2287043000
2000-03-15,1680.296,1695.162,1676.544,1681.471,1678215400
2000-03-16,1671.097,1671.178,1596.072,1607.527,1979175900
2000-03-17,1602.363,1661.976,1602.335,1658.601,1533750900
2000-03-20,1646.31,1699.281,1641.765,1699.248,1817543400
2000-03-21,1704.085,1713.205,1692.684,1710.324,1635110000
2000-03-22,1713.241,1726.59,1711.158,1720.446,1465842100
2000-03-23,1724.188,1747.283,1711.405,1747.241,1674950200
2000-03-24,1761.444,1770.263,1729.483,1730.499,2203771900
2000-03-27,1736.696,1776.021,1736.696,1775.914,1992731300
